2017-05-09T06:34:30.950Z - info: Fusion Server Started on port 80
2017-05-09T06:34:30.952Z - info: Directory Server Started on port 81
2017-05-09T06:34:30.979Z - info: Server : Application connected to database , server is about to start 
2017-05-09T06:34:30.998Z - info: Waiting for messages in :  fusionPremerge
2017-05-09T07:47:59.807Z - info: Currently avaliable Databases count is  3
2017-05-09T07:50:06.782Z - info: Currently avaliable Databases count is  3
2017-05-09T07:50:21.336Z - info: Currently avaliable Databases count is  3
2017-05-09T07:51:15.750Z - info: Currently avaliable Databases count is  3
2017-05-09T07:52:38.463Z - info: Currently avaliable Databases count is  3
2017-05-09T07:54:42.997Z - info: Currently avaliable Databases count is  3
2017-05-09T07:54:45.093Z - info: Currently avaliable Databases count is  3
2017-05-09T07:56:45.742Z - info: Currently avaliable Databases count is  3
2017-05-09T07:56:58.997Z - info: Currently avaliable Databases count is  3
2017-05-09T07:57:56.371Z - info: Currently avaliable Databases count is  3
2017-05-09T08:00:04.301Z - info: Currently avaliable Databases count is  3
2017-05-09T08:02:55.553Z - info: Currently avaliable Databases count is  3
2017-05-09T08:03:15.525Z - info: Currently avaliable Databases count is  3
2017-05-09T08:03:30.970Z - info: Currently avaliable Databases count is  3
2017-05-09T08:13:25.917Z - info: Currently avaliable Databases count is  3
2017-05-09T08:13:37.051Z - info: Currently avaliable Databases count is  3
